date	history_period	vpc_id	history_id	id	related_book_id	fragments	persons	short_title	title	type	text	strange_field	vol_id	part_id	chapter_id
1.08.1805	Август 1805		6	1011				Переговоры Наполеона с Францем	Переговоры Наполеона с австрийским императором	И	Начало августа 1805 года Наполеона ведет переговоры с австрийским императором Францем по поводу «вооруженного посредничества»: Наполеон заявляет, что готов на посредничество Австрии для заключения мира с Англией, однако для этого и австрийцы и русские должны отменить военные приготовления и вернуть армии домой. 				
26.08.1805	Август 1805	1108		1012				Первое появление Наташи	Первое появление Наташи	Л	 <p id="p378">Черноглазая, с большим ртом, некрасивая, но живая девочка, с своими детскими открытыми плечиками, выскочившими из корсажа от быстрого бега, с своими сбившимися назад черными кудрями, тоненькими оголенными руками и маленькими ножками в кружевных панталончиках и открытых башмачках, была в том милом возрасте, когда девочка уже не ребенок, а ребенок еще не девушка. Вывернувшись от отца, она подбежала к материи, не обращая никакого внимания на ее строгое замечание, спрятала свое раскрасневшееся лицо в кружевах материной мантильи и засмеялась. Она смеялась чему-то, толкуя отрывисто про куклу, которую вынула из-под юбочки.</p>		1	1	8
15.08.1805	Август 1805		7	1013				Изменение военных планов Наполеона	Изменение военных планов Наполеона	И	15 августа (27-го по новому стилю) 1805 года Наполеон принимает решение об отказе от высадки в Англии и вместо этого составляет план кампании против Австрии и России: «Если я через 15 дней не буду в Лондоне, то я должен быть в середине ноября в Вене"				
11.09.1805	Сентябрь 1805		9	1015		115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130		Объявление войны	Объявление войны	И	11(23) сентября 1805 года официально объявлена война между Россией и Францией. Российские войска стягиваются к западным границам Австрийской империи. Тем временем французская армия скорыми маршами спешит перейти Рейн и развернуться в верховьях Дуная, чтобы внезапно обрушиться на тылы австрийской армии генерала Мака, которая начала движение в Баварии, не дожидаясь подхода русских союзников.				
09.09.1805	Сентябрь 1805		8	1014	1016	115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130		Начало военного похода Александра I	Начало первого военного похода Александра I	И	9 (21) сентября 1805 года император Александр I покинул Петербург и отправился к армии на австрийской границе. Начало первого военного похода Александра I. 				
26.08.1805	Август 1805	1116		1016				Начало военного похода Александра I	Начало первого военного похода Александра I	Л	Полковник рассказал, что манифест об объявлении войны уже вышел в Петербурге и что экземпляр, который он сам видел, доставлен ныне курьером главнокомандующему.  - И зачем нас нелегкая несет воевать с Бонапартом? - сказал Шиншин		1	1	16
21.09.1805	Сентябрь 1805	1125		1018				Отъезд князя Андрея в армию	Отъезд князя Андрея в армию	Л	- André, я тебя благословлю образом, и ты обещай мне, что никогда его не будешь снимать... Обещаешь? - Ежели он не в два пуда и шеи не оттянет... Чтобы тебе сделать удовольствие... - сказал князь Андрей, но в ту же секунду, заметив огорченное выражение, которое приняло лицо сестры при этой шутке, он раскаялся. - Очень рад, право, очень рад, мой друг,- прибавил он.		1	1	25
08.10.1805	Октябрь 1805		10	1017	1023	131, 132, 141, 1251		Разгром австрийской армии	Разгром австрийской армии	И	8 октября (20-го по новому стилю) 1805 года окрeженная в крепости Ульм австрийская армия генерала Мака (более 30 тысяч человек) сдалась французским войскам. Наполеон немедленно развернул наступление на Вену, отрезая и забирая в плен деморализованные части австрийской армии. Всего за эти дни в плен попало более 60 тысяч австрийцев. Сам генерал Мак был отпущен Наполеоном, чтобы лично возвестить напуганным жителям Вены о победоносном наступлении императора французов.				
09.10.1805	Октябрь 1805		11	1019				Трафальгарская битва	Трафальгарская битва	И	9 (21) октября 1805 года  франко-испанский флот под руководством адмирала П. Вильнева был разгромлен в морском сражении у мыса Трафальгар английской эскадрой адмирала Г. Нельсона.				
11.10.1805	Октябрь 1805	1202		1020				Смотр Кутузовым полка	Смотр Кутузовым полка	Л	Кутузов прошел по рядам, изредка останавливаясь и говоря по нескольку ласковых слов офицерам, которых он знал по турецкой войне, а иногда и солдатам. Поглядывая на обувь, он несколько раз грустно покачивал головой и указывал на нее австрийскому генералу с таким выражением, что как бы не упрекал в этом никого, но не мог не видеть, как это плохо. Полковой командир каждый раз при этом забегал вперед, боясь упустить слово главнокомандующего касательно полка. Сзади Кутузова, в таком расстоянии, что всякое слабо произнесенное слово могло быть услышано, шло человек двадцать свиты. Господа свиты разговаривали между собой и иногда смеялись. Ближе всех за главнокомандующим шел красивый адъютант. Это был князь Болконский.		1	2	2
19.10.1805	Октябрь 1805		12	1021	1026	144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155		Первое сражение русских и французов	Первое сражение русских и французов	И	19(31) октября 1805 года под Ламбахом состолось первое сражение русских и французов в войне 1805 года. Отряд полковника Головкина пришел на выручку австрийскому отряду генерала Шостока и 5 часов успешно отбивал атаки французского корпуса И. Мюрата. Потом по приказу командования русско-австрийский отряд организованно отступил. В сражении погиб граф Головкин. 22 октября / 3 ноября состоялось второе столкновение русских и французов: арьергардный отряд Багратиона не дал корпусу Мюрата форсировать переправу через р. Энс (описано в тексте романа). На следующий день, 23 октября, в новом сражении русская бригада генерала Штрика не дала войскам из французского корпуса маршала Мармона обойти фланг русской армии. 				
20.10.1805	Октябрь 1805		13	1022	1025	156		Отступление из Тироля	Отступление из Тироля	И	Вторая половина октября 1805 года. Русская армия генерала Кутузова, оказавшаяся один на один с многократно превосходящими основными силами Наполеона, стремительно отступает из Тироля в Австрию. 				
11.10.1805	Октябрь 1805	1203		1023				Разгром австрийской армии	Разгром австрийской армии	Л	Князь Андрей был один из тех редких офицеров в штабе, который полагал свой главный интерес в общем ходе военного дела. Увидав Мака и услыхав подробности его погибели, он понял, что половина кампании проиграна, понял всю трудность положения русских войск и живо вообразил себе то, что ожидает армию, и ту роль, которую он должен будет играть в ней. Невольно он испытывал волнующее радостное чувство при мысли о посрамлении самонадеянной Австрии и о том, что через неделю, может быть, придется ему увидеть и принять участие в столкновении русских с французами, впервые после Суворова.		1	2	3
30.10.1805	Октябрь 1805		14	1024	1027	156, 158, 159, 162		Первые планы русской армии	Первые планы русской армии	И	30 октября (11ноября) 1805 г. Сражение при Кремсе. Наполеон пытался окружить русскую армию для чего перебросил на левый берег Дуная корпус маршала Мортье, а основными силами попытался связать Кутузова на правом берегу Дуная. Однако Кутузов разгадал этот маневр и нанес внезапный удар по корпусу Мортье. Французский корпус был разбит, потеряв более половины своего состава. Это была первая победа Кутузова над Наполеоном. 				
23.10.1805	Октябрь 1805	1206		1025				Отступление из Тироля	Отступление из Тироля	Л	<p id="p1476">Кутузов отступил к Вене, уничтожая за собой мосты на реках Инне (в Браунау) и Трауне (в Линце). 23-го октября русские войска переходили реку Энс. Русские обозы, артиллерия и колонны войск в середине дня тянулись через город Энс, по сю и по ту сторону моста.</p>		1	2	6
23.10.1805	Октябрь 1805	1208		1026				Первое сражение русских и французов	Первое сражение русских и французов	Л	Между эскадроном и неприятелями уже никого не было, кроме мелких разъездов. Пустое пространство, сажен в триста, отделяло их от него. Неприятель перестал стрелять, и тем яснее чувствовалась та строгая, грозная, неприступная и неуловимая черта, которая разделяет два неприятельские войска.		1	2	8
01.11.1805	Ноябрь 1805	1212		1027				Первые планы русской армии	Первые планы русской армии	Л	28-го октября Кутузов с армией перешел на левый берег Дуная и в первый раз остановился, положив Дунай между собой и главными силами французов. 30-го он атаковал находившуюся на левом берегу Дуная дивизию Мортье и разбил ее. В этом деле в первый раз взяты трофеи: знамя, орудия и два неприятельские генерала. В первый раз после двухнедельного отступления русские войска остановились и после борьбы не только удержали поле сражения, но прогнали французов. Несмотря на то, что войска были раздеты, изнурены, на одну треть ослаблены отсталыми, ранеными, убитыми и больными; несмотря на то, что на той стороне Дуная были оставлены больные и раненые с письмом Кутузова, поручавшим их человеколюбию неприятеля; несмотря на то, что большие госпитали и дома в Кремсе, обращенные в лазареты, не могли уже вмещать в себе всех больных и раненых,- несмотря на все это, остановка при Кремсе и победа над Мортье значительно подняли дух войска.		1	2	12
01.11.1805	Ноябрь 1805		15	1028	1029	163,164, 170		Захват моста через Дунай	Захват моста через Дунай	И	1 / 13 ноября 1805 года французы без боя взяли Вену и захватили мост через Дунай. Потеря моста Табор (точно описана в романе в рассказе Билибина) ставила русскую армию в безвыходное положение, так как кавалерии Мюрата оставался лишь один бросок, чтобы перезать путь отступления Кутузова по левому берегу Дуная к г. Цнайму. 				
01.11.1805	Ноябрь 1805	1212		1029				Захват моста через Дунай	Захват моста через Дунай	Л	<p id="p1756">- В этом-то и штука,- отвечал Билибин.- Слушайте. Вступают французы в Вену, как я вам говорил. Все очень хорошо. На другой день, то есть вчера, господа маршалы: Мюрат, Латш и Бельяр, садятся верхом и отправляются на мост. (Заметьте, все трое гасконцы.) Господа,- говорит один,- вы знаете, что Таборский мост минирован и контраминирован и что перед ним грозный<a href="ref://#ref_t1_id269» class="a addcontent"> tête de pont</a> и пятнадцать тысяч войска, которому ведено взорвать мост и нас не пускать. Но нашему государю императору Наполеону будет приятно, ежели мы возьмем этот мост. Поедемте втроем и возьмем этот мост.- Поедемте, говорят другие; и они отправляются и берут мост, переходят его и теперь со всею армией по сю сторону Дуная направляются на нас, на вас и на ваши сообщения.</p>	<p id="p1756">- В этом-то и штука,- отвечал Билибин.- Слушайте. Вступают французы в Вену, как я вам говорил. Все очень хорошо. На другой день, то есть вчера, господа маршалы: Мюрат, Латш и Бельяр, садятся верхом и отправляются на мост. (Заметьте, все трое гасконцы.) Господа,- говорит один,- вы знаете, что Таборский мост минирован и контраминирован и что перед ним грозный<a href="ref://#ref_t1_id269» class="a addcontent"> tête de pont</a> и пятнадцать тысяч войска, которому ведено взорвать мост и нас не пускать. Но нашему государю императору Наполеону будет приятно, ежели мы возьмем этот мост. Поедемте втроем и возьмем этот мост.- Поедемте, говорят другие; и они отправляются и берут мост, переходят его и теперь со всею армией по сю сторону Дуная направляются на нас, на вас и на ваши сообщения.</p>	1	2	12
02.11.1805	Ноябрь 1805		16	1030	1033	178,179		Хитрость Кутузова	Хитрость Кутузова	И	2 ноября 1805 года Кутузов поручил отряду Багратиона любой ценой не пропустить Мюрата к Цнайму, пока остальная русская армия попытается проскочить через этот пункт. Чтобы выгадать решающие часы Кутузов завязал с Мюратом мирные переговоры о возможном пропуске французов на ключевую дорогу без боя (благодаря подобным переговорам Мюрат неоднократно захватывал без боя ключевые позиции у австрийцев).				
01.11.1805	Ноябрь 1805	1212		1031				Князь Андрей на приеме у австрийского императора	Князь Андрей на приеме у австрийского императора	Л	На выходе император Франц только пристально вгляделся в лицо князя Андрея, стоявшего в назначенном месте между австрийскими офицерами, и кивнул ему своей длинной головой. Но после выхода вчерашний флигель-адъютант с учтивостью передал Болконскому желание императора дать ему аудиенцию. Император Франц принял его, стоя посредине комнаты. Перед тем как начинать разговор, князя Андрея поразило то, что император как будто смешался, не зная, что сказать, и покраснел.		1	2	12
03.10.1805	Ноябрь 1805		17	1032	1034	180		Наступление французов	Наступление французов	И	3 ноября 1805 года Наполеон с ужасом узнал о переговорах между Мюратом и Кутузовом и понял, что его маршал обманут русским генералом. Мюрату приказано разорвать перемирие и немедленно наступать.   				
01.11.1805	Ноябрь 1805	1214		1033				Хитрость Кутузова	Хитрость Кутузова	Л	Кутузову надо было идти еще целые сутки с своими обозами, чтобы достигнуть Цнайма, и потому, чтобы спасти армию, Багратион должен был с четырьмя тысячами голодных, измученных солдат удерживать в продолжение суток всю неприятельскую армию, встретившуюся с ним в Голлабруне, что было, очевидно, невозможно. Но странная судьба сделала невозможное возможным. Успех того обмана, который без боя отдал венский мост в руки французов, побудил Мюрата попытаться обмануть так же и Кутузова. Мюрат, встретив слабый отряд Багратиона на цнаймской дороге, подумал, что это была вся армия Кутузова. Чтобы несомненно раздавить эту армию, он поджидал отставшие по дороге из Вены войска и с этой целью предложил перемирие на три дня, с условием, чтобы и те и другие войска не изменяли своих положений и не трогались с места.		1	2	14
01.11.1805	Ноябрь 1805	1214		1034				Наступление французов	Наступление французов	Л	Ожидания Кутузова сбылись как относительно того, что предложения капитуляции, ни к чему не обязывающие, могли дать время пройти некоторой части обозов, так и относительно того, что ошибка Мюрата должна была открыться очень скоро. Как только Бонапарте, находившийся в Шенбрунне, в двадцати пяти верстах от Голлабруна, получил донесение Мюрата и проект перемирия и капитуляции, он увидел обман		1	2	14
04.11.1805	Ноябрь 1805	1217		1035				Шенграбенское сражение	Шенграбенское сражение	Л	 <p id="p1944">Багратион окликнул офицера, и Тушин, робким и неловким движением, совсем не так, как салютуют военные, а так, как благословляют священники, приложив три пальца к козырьку, подошел к генералу. Хотя орудия Тушина были назначены для того, чтоб обстреливать лощину, он стрелял брандскугелями по видневшейся впереди деревне Шенграбен, перед которой выдвигались большие массы французов.</p>		1	2	17
04.11.1805	Ноябрь 1805		18	1036	1035	185,186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197,198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 259, 279, 338, 339, 341, 439, 695		Шенграбенское сражение	Шенграбенское сражение	И	4 ноября 1805 года сражение при Шенграбене. Отряд Багратиона полдня отбивал атаки в шесть раз превосходящих сил Мюрата. Наконец под угрозой окружения, потеряв половину людей, Багратион прорвался на соединение с остальной армией.				
4.11.1805	Ноябрь 1805	1220		1037				Батарея Тушина	Батарея Тушина	Л	Про батарею Тушина было забыто, и только в самом конце дела, продолжая слышать канонаду в центре, князь Багратион послал туда дежурного штаб-офицера и потом князя Андрея, чтобы велеть батарее отступать как можно скорее. Прикрытие, стоявшее подле пушек Тушина, ушло по чьему-то приказанию в середине дела; но батарея продолжала стрелять и не была взята французами только потому, что неприятель не мог предполагать дерзости стрельбы четырех никем не защищенных пушек. Напротив, по энергичному действию этой батареи он предполагал, что здесь, в центре, сосредоточены главные силы русских, и два раза пытался атаковать этот пункт, и оба раза был прогоняем картечными выстрелами одиноко стоявших на этом возвышении четырех пушек.		1	2	20
1.10.1805	Октябрь 1805	1301	9	1038				Пьер женится на Элен	Пьер женится на Элен	Л	Вернувшись домой, Пьер долго не мог заснуть, думая о том, что с ним случилось. Что же случилось с ним? Ничего. Он только понял, что женщина, которую он знал ребенком, про которую он рассеянно говорил: «Да, хороша», когда ему говорили, что Элен красавица, он понял, что эта женщина может принадлежать ему.		1	3	1
19.12.1805	Декабрь 1805	1305		1039				Княжна Марья отказывает Анатолю	Княжна Марья отказывает Анатолю	Л	Судьба ее решилась, и решилась счастливо. Но что отец сказал о m-lle Bourienne,- этот намек был ужасен. Неправда, положим, но все-таки это было ужасно, она не могла не думать об этом. Она шла прямо перед собой через зимний сад, ничего не видя и не слыша, как вдруг знакомый шепот m-lle Bourienne разбудил ее. Она подняла глаза и в двух шагах от себя увидала Анатоля, который обнимал француженку и что-то шептал ей. Анатоль с страшным выражением на красивом лице оглянулся на княжну Марью и не выпустил в первую секунду талии m-lle Bourienne, которая не видала ее.		1	3	5
8.11.1805	Ноябрь 1805	1306		1040				Письмо о ранении Николая	Письмо о ранении Николая	Л	      <p id="p2389">- Николенька... ранен... письмо... - проговорила она торжественно и радостно.</p>       <p id="p2390">- Nicolas! - только выговорила Соня, мгновенно бледнея.</p>       <p id="p2391">Наташа, увидав впечатление, произведенное на Соню известием о ране брата, в первый раз почувствовала всю горестную сторону этого известия.</p>       <p id="p2392">Она бросилась к Соне, обняла ее и заплакала.</p>       <p id="p2393">- Немножко ранен, но произведен в офицеры; он теперь здоров, он сам пишет,- говорила она сквозь слезы.</p>       <p id="p2394">- Вот видно, что все вы, женщины,- плаксы,- сказал Петя, решительными большими шагами прохаживаясь по комнате. - Я так очень рад и, право, очень рад, что брат так отличился. Все вы нюни! Ничего не понимаете.</p>		1	3	6
20.11.1805	Ноябрь 1805		19	1041	1043	301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 341, 405, 417, 421, 446, 457, 489, 539, 695, 699, 806, 838, 846, 852, 1097, 1121, 1212, 1251		Битва при Аустерлице	Битва при Аустерлице	И	20 ноября ( 2 декабря) 1805 года. Генеральное сражение при Аустерлице. 70-тысячная армия Наполеона наголову разгомила 85-тысячную армию русских и австрийцев, предводимых императорами Александром и Францем. Союзники потеряли около 27 тысяч человек, из них до 10 тысяч пленными. Французы в свою очередь потеряли всего порядка 10 тысяч убитыми, ранеными и пленными. 				
20.11.1805	Ноябрь 1805	1315		1043		,		Битва при Аустерлице	Битва при Аустерлице	Л	Ночной туман к утру оставил на высотах только иней, переходивший в росу, в лощинах же                     туман расстилался                     еще молочно-белым морем. Ничего не было видно в той лощине налево, куда спустились наши войска и                     откуда долетали                     звуки стрельбы. Над высотами было темное ясное небо, и направо - огромный шар солнца. Впереди,                     далеко, на том берегу                     туманного моря, виднелись выступающие лесистые холмы, на которых должна была быть неприятельская                     армия, и виднелось                     что-то. Вправо вступала в область тумана гвардия, звучавшая топотом и колесами и изредка блестевшая                     штыками; налево,                     за деревней, такие же массы кавалерии подходили и скрывались в море тумана. Спереди и сзади                     двигалась пехота.                     Главнокомандующий стоял на выезде деревни, пропуская мимо себя войска. Кутузов в это утро казался                     изнуренным и                     раздражительным. Шедшая мимо его пехота остановилась без приказания, очевидно потому, что впереди                     что-нибудь                     задержало ее.		1	3	15
20.11.1805	Ноябрь 1805	1319		1044				Ранение князя Андрея	Ранение князя Андрея	Л	<p id="p2922"><a href="ref://#ref_t1_id362» class="a addcontent">- Voilà une belle mort</a>,- сказал Наполеон, глядя на Болконского.</p>       <p id="p2923">Князь Андрей понял, что это было сказано о нем и что говорит это Наполеон. Он слышал, как называли<a href="ref://#ref_t1_id363» class="a addcontent"> sire</a> того, кто сказал эти слова. Но он слышал эти слова, как бы он слышал жужжание мухи. Он не только не интересовался ими, но он и не заметил, а тотчас же забыл их. Ему жгло голову; он чувствовал, что он исходит кровью, и он видел над собою далекое, высокое и вечное небо. Он знал, что это был Наполеон - его герой, но в эту минуту Наполеон казался ему столь маленьким, ничтожным человеком в сравнении с тем, что происходило теперь между его душой и этим высоким, бесконечным небом с бегущими по нем облаками. Ему было совершенно все равно в эту минуту, кто бы ни стоял над ним, что бы ни говорил о нем; он рад был только тому, что остановились над ним люди, и желал только, чтоб эти люди помогли ему и возвратили бы его к жизни, которая казалась ему столь прекрасною, потому что он так иначе понимал ее теперь. Он собрал все свои силы, чтобы пошевелиться и произвести какой-нибудь звук. Он слабо пошевелил ногою и произвел самого его разжалобивший, слабый, болезненный стон.</p>		1	3	19
